"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","Effect_Type","Mean","SD","Median","N"
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp","Positive",5.98476575175709,0.483642746430102,6.05487319132244,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS","Negative",-6.37670273227583,1.02170155353014,-5.86758088998652,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS","Positive",6.55502642719355,0.917548894345357,6.48379110170572,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS","Negative",0.137769497437349,2.05286094020819,0.662915351356013,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS","Positive",-0.0368211687862651,2.23202080475254,-0.772935863100988,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS1",0.261688050648327,0.184828057530833,0.326928955869239,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS10",-0.0252061005302526,0.248877332010476,-0.0617530666220967,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS2",-0.00582184305756149,0.221475256672054,0.00443205504781296,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS3",-0.253198756350402,0.266319515635742,-0.283086108357929,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS4",-0.00342523627762245,0.172816115202351,0.0042719104020536,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS5",-0.0475308880630344,0.288083021035979,-0.0883799700150499,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS6",-0.00136905766298559,0.218364757563823,0.0137492872367605,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS7",0.0136412317298915,0.203132304253452,0.0642141206200539,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS8",-0.0738359097101361,0.205141627417469,-0.10019859346116,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS9",0.0789902672378283,0.152090633821782,0.101095599374688,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp","Negative",-9.31072009874211,0.77737424662992,-9.10973502193967,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp","Overall",0.0626617363157247,0.440667077927929,-0.000843514724107472,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp","Positive",9.37338183505784,0.706482895189689,9.28452418337674,10
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS","Negative",-6.03062784753259,1.13496897032092,-5.7401896494202,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS","Positive",6.28346376657561,1.20680139332608,6.01258037320872,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS","Negative",-1.55283546373425,2.62681501850978,-0.948517542163754,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS","Positive",1.80492713884023,2.68878993563331,0.759997470089034,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS1",0.540673519203993,0.0572631293409043,0.538828157557944,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS10",-0.0459242912652369,0.241830346295811,-0.0677542892678163,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS2",-0.0899803987069014,0.278244156238381,0.000827193056720133,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS3",-0.407518194907685,0.338627538407069,-0.407737240878389,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS4",0.0464996813981257,0.235024666889929,0.112315902221441,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS5",-0.0146992231569041,0.340132414499521,-0.0890500044342007,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS6",-0.0640874834803565,0.229675299582466,6.4505889587132e-05,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS7",0.0542108704192274,0.227882318412111,0.0567044230660219,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS8",-0.139199502650467,0.153556510907097,-0.105402664232235,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS","GWQS9",0.0804788223373256,0.127517349381417,0.129791517024822,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp","Negative",-9.38748282825802,0.572706479701812,-9.27187147653451,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp","Overall",0.0851108528230844,0.205533298873689,0.0314058373115366,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp","Positive",9.47259368108111,0.556264427500661,9.39472189470456,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS","Negative",-6.0810705361643,1.13687554720332,-5.77915799709492,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS","Positive",6.31201474275825,1.21281698509916,6.05236473670483,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS","Negative",0.469801015382301,2.42464593239031,1.17176380984738,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS","Positive",-0.250158803753221,2.51331012542427,-1.36327845164418,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS1",0.282493193173968,0.0614168784811696,0.273891992680287,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS10",-0.0468699033123009,0.241099183670411,-0.073236328655842,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS2",-0.063054798807479,0.263406147530398,0.0264617651604793,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS3",-0.193570089332033,0.325923755493753,-0.216633547176604,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS4",0.0444357503624237,0.233587916706606,0.109342969748025,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS5",-0.00867424512440592,0.336736666845878,-0.1051695487493,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS6",-0.0544400078640363,0.219095692223449,0.0148375882376657,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS7",0.0422600615842538,0.230561501765143,0.0315499759952974,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS8",-0.145473740401723,0.160748696529711,-0.112990740953379,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS","GWQS9",0.0875137087890372,0.119192119551785,0.121545364213159,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp","Negative",-9.31687155168939,0.598840845986741,-9.08962274378815,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp","Overall",0.0519193344262035,0.202212654317459,-0.0108144776750523,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp","Positive",9.36879088611559,0.575798213013666,9.255706341676,5
