job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,bootstrap_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,binomial_target_prevalence,reuse_from_battery,run_this
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_1123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,1123,101123,3001123,3001123,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_1123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,1123,101123,4001123,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_1234_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,1234,101234,1001234,101234,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_1234_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,1234,101234,2001234,2001234,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_1234_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,1234,101234,3001234,3001234,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_1234_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,1234,101234,4001234,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_1357_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,1357,101357,1001357,101357,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_1357_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,1357,101357,2001357,2001357,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_1357_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,1357,101357,3001357,3001357,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_1357_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,1357,101357,4001357,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
