true_ratio,threshold,seed,ok,error,error_class,fitted_ratio,fitted_minor_direction,excluded_minor,pos_estimate,pos_pvalue,neg_estimate,neg_pvalue,contrast_estimate,true_contrast
0.1,0,2718,TRUE,NA,NA,0.14565559036901568,negative,FALSE,0.32410676976617186,1.7435730611615622e-5,0.11477288347195023,0.07732956609143603,0.13670572905625344,0.44999999999999996
0.1,0,2801,TRUE,NA,NA,1.8585031043079632e-4,negative,FALSE,0.44098320833975824,2.153284763809244e-7,0.002870357490069623,0.9633886843035995,0.18017706542492593,0.44999999999999996
0.1,0,3001,TRUE,NA,NA,2.978735097480656e-4,negative,FALSE,0.5382342683728035,5.878510766085147e-11,-0.07002189545143665,0.23379031402375364,0.25185127501565896,0.44999999999999996
0.1,0,3141,TRUE,NA,NA,7.497348417266267e-4,negative,FALSE,0.32408533745879264,6.302863025425682e-5,0.14703259154653844,0.043351761401054116,0.14221180854637433,0.44999999999999996
0.1,0,3333,TRUE,NA,NA,7.752599906411033e-4,negative,FALSE,0.4268507269813396,4.0583331943188225e-7,0.015463338385025008,0.8267482717662268,0.15220173613330534,0.44999999999999996
0.1,0,3500,TRUE,NA,NA,3.9643830819708976e-5,negative,FALSE,0.3524305609482078,5.491221282691273e-6,0.02540643255418029,0.6477329045049616,0.15391100097528726,0.44999999999999996
0.1,0,3777,TRUE,NA,NA,2.589499132673491e-4,negative,FALSE,0.2723491387962524,0.001848829832632637,-0.019113090200097108,0.7621477126046757,0.1095940962567655,0.44999999999999996
0.1,0.1,71,TRUE,NA,NA,3.7597935692531436e-4,negative,TRUE,0.4394702187678069,2.8456460083325835e-11,NA,NA,0.1368144865418374,0.44999999999999996
0.1,0.1,42,TRUE,NA,NA,2.161096885400902e-5,negative,TRUE,0.4182577155868742,2.80989138573167e-9,NA,NA,0.1536172729210332,0.44999999999999996
0.1,0.1,123,TRUE,NA,NA,3.142603671701131e-5,negative,TRUE,0.3840466999591615,1.8326221396845491e-9,NA,NA,0.14157824454383944,0.44999999999999996
0.1,0.1,256,TRUE,NA,NA,3.755544301080219e-4,negative,TRUE,0.3954395757220783,5.086835233970985e-9,NA,NA,0.16345763375670408,0.44999999999999996
0.1,0.1,314,TRUE,NA,NA,2.0581177540040218e-6,negative,TRUE,0.3836106074231254,1.3836471217506646e-7,NA,NA,0.13006707822040897,0.44999999999999996
0.1,0.1,500,TRUE,NA,NA,0,negative,TRUE,0.4901647665786574,4.44074109212076e-13,NA,NA,0.1746641407219682,0.44999999999999996
0.1,0.1,617,TRUE,NA,NA,1.0819891295937826e-4,negative,TRUE,0.34594343447988646,2.858991195929494e-7,NA,NA,0.16544768977433644,0.44999999999999996
0.1,0.1,789,TRUE,NA,NA,0,negative,TRUE,0.456774341296086,6.988244776957928e-11,NA,NA,0.21938067066764386,0.44999999999999996
0.1,0.1,888,TRUE,NA,NA,6.076263663156503e-6,negative,TRUE,0.4922376821880741,6.188740925858776e-15,NA,NA,0.2148336179301247,0.44999999999999996
0.1,0.1,999,TRUE,NA,NA,0,negative,TRUE,0.3728295584397667,1.0727323738434632e-9,NA,NA,0.1410873494338629,0.44999999999999996
0.1,0.1,1001,TRUE,NA,NA,1.5261475214049052e-5,negative,TRUE,0.3759871575542672,6.39032044391799e-7,NA,NA,0.11911703621795022,0.44999999999999996
0.1,0.1,1123,TRUE,NA,NA,5.328612521084656e-4,negative,TRUE,0.4692888221350355,1.069888612449942e-14,NA,NA,0.16240715903106076,0.44999999999999996
0.1,0.1,1234,TRUE,NA,NA,0.0010950811794017722,negative,TRUE,0.4054187535047651,5.271492498151722e-10,NA,NA,0.12400769367233433,0.44999999999999996
0.1,0.1,1357,TRUE,NA,NA,0,negative,TRUE,0.34388495485370735,3.423609896083978e-7,NA,NA,0.14355715960346968,0.44999999999999996
